date,n_trades,total_pnl,total_volume,win_rate,avg_trade_size,fg_value,n_accounts,pnl_per_volume_bps
2024-03-28,13,227.85100799999998,35323.72,100.0,2717.209230769231,80.0,2,64.50368420993031
2024-03-29,15,883.097404,86914.37,100.0,5794.291333333333,79.0,1,101.60545419589418
2024-03-30,45,1100.57514,101103.92,100.0,2246.753777777778,75.0,1,108.85583269174924
2024-03-31,13,912.786145,39912.96,100.0,3070.2276923076925,75.0,1,228.6941747743089
2024-04-01,77,2507.963406,339470.47,97.67441860465115,4408.7074025974025,79.0,2,73.87869130413611
2024-04-02,41,883.760812,239664.50999999998,100.0,5845.475853658536,79.0,2,36.874913686636376
2024-04-03,4,126.7884,16887.57,100.0,4221.8925,71.0,2,75.0779419419135
2024-04-04,32,0.0,95987.73,,2999.6165625,70.0,1,0.0
2024-04-05,100,10706.484306,503791.8,100.0,5037.918,79.0,3,212.51803435466795
2024-04-06,16,236.33513399999998,68223.67,100.0,4263.979375,75.0,1,34.641222613793715
2024-04-07,23,0.0,49988.14,,2173.397391304348,78.0,1,0.0
2024-04-08,30,1218.4267,211940.64,100.0,7064.688,76.0,2,57.48905448242488
2024-04-09,3,0.0,57063.840000000004,,19021.280000000002,80.0,1,0.0
2024-04-10,41,5207.443414,351735.97,100.0,8578.926097560974,78.0,1,148.04978330763274
2024-04-11,16,389.743164,76400.96,100.0,4775.06,76.0,1,51.01286214204637
2024-04-12,129,-592.6458390000001,442088.59,70.29702970297029,3427.0433333333335,79.0,3,-13.405590019864572
2024-04-13,89,6621.451755,486411.25,100.0,5465.294943820225,72.0,2,136.12867208560658
2024-04-14,107,-36104.012520000004,659162.17,44.5945945945946,6160.394112149533,72.0,2,-547.7257974316093
2024-04-15,41,3774.08872,291111.19,100.0,7100.272926829269,74.0,2,129.64423387503587
2024-04-16,47,2467.702221,181907.17,100.0,3870.3653191489366,65.0,2,135.6572267602206
2024-04-17,14,2441.4683999999997,97562.99,100.0,6968.785000000001,67.0,1,250.24534405925849
2024-04-19,35,1946.4454620000001,337257.92000000004,100.0,9635.940571428573,66.0,1,57.713854785085545
2024-04-20,22,0.0,60733.24,,2760.601818181818,66.0,2,0.0
2024-04-22,9,0.0,47993.61,,5332.623333333333,73.0,1,0.0
2024-04-23,66,1119.536196,233054.9,100.0,3531.1348484848486,71.0,2,48.03744508268224
2024-04-24,20,279.185907,141275.24,85.71428571428571,7063.762,72.0,1,19.761842697984445
2024-04-25,74,0.0,120241.01,,1624.8785135135136,72.0,2,0.0
2024-04-26,3,0.0,4988.290000000001,,1662.7633333333335,70.0,1,0.0
2024-04-27,27,4281.488139,154264.47,100.0,5713.498888888889,67.0,1,277.5420768631947
2024-04-28,58,0.0,43985.6,,758.3724137931034,65.0,2,0.0
2024-04-29,45,526.9338359999999,108699.01,100.0,2415.5335555555553,67.0,2,48.47641537857612
2024-04-30,24,0.0,125018.75,,5209.114583333333,67.0,1,0.0
2024-05-01,14,0.0,87025.45,,6216.103571428571,54.0,1,0.0
2024-05-03,36,5306.017045,282682.64999999997,89.47368421052632,7852.295833333333,48.0,3,187.7022535695063
2024-05-04,9,0.0,58998.75,,6555.416666666667,67.0,2,0.0
2024-05-05,6,0.916,24068.350000000002,100.0,4011.391666666667,69.0,2,0.380582798571568
2024-05-06,9,968.59038,206016.43,100.0,22890.714444444442,71.0,1,47.0152006808389
2024-05-07,18,883.537693,108717.58,100.0,6039.865555555556,68.0,3,81.26907285831784
2024-05-08,13,1.56576,65973.57,50.0,5074.89,64.0,2,0.23733140407590494
2024-05-09,28,1147.595856,221966.12,100.0,7927.361428571428,55.0,2,51.701397312346586
2024-05-10,22,2101.741695,156882.0,100.0,7131.0,66.0,1,133.96958828928751
2024-05-11,9,251.604742,63248.95,100.0,7027.661111111111,53.0,1,39.78006623034849
2024-05-12,23,0.0,55179.56,,2399.111304347826,56.0,2,0.0
2024-05-13,28,2136.853859,193118.9,100.0,6897.103571428571,57.0,2,110.64964946465624
2024-05-14,23,1150.5233050000002,145853.4,100.0,6341.452173913043,66.0,1,78.88217244164348
2024-05-15,36,948.970582,234922.57,100.0,6525.626944444444,64.0,1,40.39503662845166
2024-05-16,27,214.5898,162620.96,100.0,6022.998518518518,70.0,2,13.195703678049865
2024-05-18,25,3522.3946610000003,126303.14,100.0,5052.1256,73.0,1,278.88417192161654
2024-05-19,8,0.0,29998.09,,3749.76125,72.0,1,0.0
2024-05-20,10,-74.818442,38124.75,0.0,3812.475,70.0,2,-19.624638063200415
2024-05-21,125,7289.397571999999,1100948.59,56.00000000000001,8807.588720000002,76.0,2,66.21015402726478
2024-05-22,6,0.0,44995.29,,7499.215,76.0,1,0.0
2024-05-23,325,413.347329,401850.6,92.94871794871796,1236.4633846153845,76.0,3,10.286094608294725
2024-05-24,2,821.949278,50811.899999999994,100.0,25405.949999999997,74.0,1,161.76314564108017
2024-05-25,16,14.126038999999999,29991.129999999997,100.0,1874.4456249999998,76.0,2,4.710072278036873
2024-05-26,16,778.6839,53976.67,100.0,3373.541875,75.0,2,144.26304920255362
2024-05-27,251,1129.35587,151115.72,96.7741935483871,602.0546613545816,74.0,1,74.73450611226946
2024-05-29,164,277.791953,84268.76,95.77464788732394,513.8339024390243,72.0,2,32.964998298301765
2024-05-30,7,20.951433,2838.09,100.0,405.4414285714286,73.0,1,73.82229950424406
2024-05-31,13,25.35812,3636.14,100.0,279.70307692307694,73.0,1,69.73911895581578
2024-06-01,25,91.510419,12834.62,100.0,513.3848,72.0,1,71.29967151345345
2024-06-02,93,192.906947,29464.51,100.0,316.822688172043,73.0,1,65.47095030597828
2024-06-03,70,562.808208,21466.86,100.0,306.66942857142857,73.0,1,262.17537543916535
2024-06-04,53,52.211438,24243.41,100.0,457.42283018867926,73.0,1,21.536342453474987
2024-06-05,54,56.055506,25350.77,94.11764705882352,469.4587037037037,75.0,1,22.111953995874682
2024-06-06,234,274.173187,137557.76,98.0392156862745,587.8536752136753,78.0,1,19.931495467794765
